,XBB.TO,XCB.TO,XEF.TO,XEM.TO,XHY.TO,XIG.TO,XIU.TO,XSB.TO,XUS.TO
1999-10-05,,,,,,,-0.007203072079386086,,
1999-10-06,,,,,,,0.006046470854609964,,
1999-10-07,,,,,,,0.006009099582040767,,
1999-10-08,,,,,,,0.007168820971754641,,
1999-10-12,,,,,,,0.0011861719121513126,,
1999-10-13,,,,,,,-0.016587748585179862,,
1999-10-14,,,,,,,-0.006024184082044304,,
1999-10-15,,,,,,,-0.01454540759050138,,
1999-10-18,,,,,,,0.0012296784922345427,,
1999-10-19,,,,,,,-0.006142510027010384,,
1999-10-20,,,,,,,0.01483334885801657,,
1999-10-21,,,,,,,0.006089788192411794,,
1999-10-22,,,,,,,0.013317478409235806,,
1999-10-25,,,,,,,0.0,,
1999-10-26,,,,,,,-0.002389179893714344,,
1999-10-27,,,,,,,-0.004790488481181909,,
1999-10-28,,,,,,,0.021660792695328723,,
1999-10-29,,,,,,,0.01884555114733799,,
1999-11-01,,,,,,,0.006936186472808137,,
1999-11-02,,,,,,,-0.012628691802673897,,
1999-11-03,,,,,,,0.002325115840117631,,
1999-11-04,,,,,,,0.005800466731294973,,
1999-11-05,,,,,,,0.004613595787754887,,
1999-11-08,,,,,,,0.0,,
1999-11-09,,,,,,,0.001148450929230771,,
1999-11-10,,,,,,,0.009174280333814178,,
1999-11-11,,,,,,,0.0181817561398403,,
1999-11-12,,,,,,,0.005580119005726969,,
1999-11-15,,,,,,,0.01775878482484794,,
1999-11-16,,,,,,,-0.006543323006052093,,
1999-11-17,,,,,,,-0.003292896116967703,,
1999-11-18,,,,,,,0.009911955235965442,,
1999-11-19,,,,,,,0.0065430111370750055,,
1999-11-22,,,,,,,-0.008667588600583809,,
1999-11-23,,,,,,,0.0065572364013470885,,
1999-11-24,,,,,,,0.011943556825456891,,
1999-11-25,,,,,,,0.009656638203284329,,
1999-11-26,,,,,,,0.004250630452566684,,
1999-11-29,,,,,,,-0.017989378039242165,,
1999-11-30,,,,,,,-0.03232782580430882,,
1999-12-01,,,,,,,0.008908977129235884,,
1999-12-02,,,,,,,0.009933997988326837,,
1999-12-03,,,,,,,0.015300608958235484,,
1999-12-06,,,,,,,0.009687127753383873,,
1999-12-07,,,,,,,0.003198799354553916,,
1999-12-08,,,,,,,-0.014878004360723618,,
1999-12-09,,,,,,,-0.0010786102070846626,,
1999-12-10,,,,,,,0.023757672115032324,,
1999-12-13,,,,,,,0.004220000214186337,,
1999-12-14,,,,,,,-0.007353196850601873,,
1999-12-15,,,,,,,0.007407666883399111,,
1999-12-16,,,,,,,0.0073523707415297235,,
1999-12-17,,,,,,,0.007299602567087504,,
1999-12-20,,,,,,,0.0041406990991577075,,
1999-12-21,,,,,,,0.014433053975579702,,
1999-12-22,,,,,,,0.0030487523547724216,,
1999-12-23,,,,,,,0.00911903664818614,,
1999-12-24,,,,,,,0.006023535525996104,,
1999-12-29,,,,,,,0.005987683848922787,,
1999-12-30,,,,,,,-0.010912224148012628,,
1999-12-31,,,,,,,-0.004011735957310636,,
2000-01-04,,,,,,,-0.02316253714388905,,
2000-01-05,,,,,,,-0.009278265486201254,,
2000-01-06,,,,,,,-0.0062429178225249515,,
2000-01-07,,,,,,,0.039790309459971196,,
2000-01-10,,,,,,,0.016112155230802117,,
2000-01-11,,,,,,,-0.015856670100696024,,
2000-01-12,,,,,,,-0.015105811528679736,,
2000-01-13,,,,,,,0.009202147218857482,,
2000-01-14,,,,,,,-0.013171418664021384,,
2000-01-17,,,,,,,0.017454204377024496,,
2000-01-18,,,,,,,0.01614525215034468,,
2000-01-19,,,,,,,0.003972181170993627,,
2000-01-20,,,,,,,0.0009889925867632154,,
2000-01-21,,,,,,,-0.005928657866676512,,
2000-01-24,,,,,,,-0.016898710009062068,,
2000-01-25,,,,,,,0.01213357216418598,,
2000-01-26,,,,,,,0.016982762037985655,,
2000-01-27,,,,,,,0.003929120064624536,,
2000-01-28,,,,,,,-0.026418339022933446,,
2000-01-31,,,,,,,0.010049964557391267,,
2000-02-01,,,,,,,0.0,,
2000-02-02,,,,,,,0.026865638513767998,,
2000-02-03,,,,,,,0.01647304087770496,,
2000-02-04,,,,,,,0.0400379630797123,,
2000-02-07,,,,,,,-0.011915324347117284,,
2000-02-08,,,,,,,0.010203763553894296,,
2000-02-09,,,,,,,0.002755058227555507,,
2000-02-10,,,,,,,0.009157379171777835,,
2000-02-11,,,,,,,-0.01724124060479648,,
2000-02-14,,,,,,,0.015697231454828486,,
2000-02-15,,,,,,,0.01181815581964285,,
2000-02-16,,,,,,,0.007187626788138335,,
2000-02-17,,,,,,,-0.003568230521965421,,
2000-02-18,,,,,,,-0.01880050204653283,,
2000-02-21,,,,,,,-0.017335432636934378,,
2000-02-22,,,,,,,0.0,,
2000-02-23,,,,,,,0.012070273976312995,,
2000-02-24,,,,,,,-0.020183583363812097,,
2000-02-25,,,,,,,-0.009363232321122572,,
2000-02-28,,,,,,,0.002835377411723128,,
2000-02-29,,,,,,,-0.012251964085146172,,
2000-03-01,,,,,,,0.029671441228437123,,
2000-03-02,,,,,,,0.0158434669939862,,
2000-03-03,,,,,,,0.0027515901964652034,,
2000-03-06,,,,,,,0.014638477579599352,,
2000-03-07,,,,,,,-0.019837082936979056,,
2000-03-08,,,,,,,-0.010119867053175802,,
2000-03-09,,,,,,,0.012081367453150804,,
2000-03-10,,,,,,,0.007346124481782956,,
2000-03-13,,,,,,,-0.0027341644311842384,,
2000-03-14,,,,,,,0.0073120913015212174,,
2000-03-15,,,,,,,-0.0081667602734945,,
2000-03-16,,,,,,,0.02378809519426861,,
2000-03-17,,,,,,,0.008042748791132093,,
2000-03-20,,,,,,,0.00709207029675607,,
2000-03-21,,,,,,,0.013204113356166669,,
2000-03-22,,,,,,,0.01824523455621918,,
2000-03-23,,,,,,,0.008532329632134683,,
2000-03-24,,,,,,,0.012981652995664561,,
2000-03-27,,,,,,,0.0033417352703466463,,
2000-03-28,,,,,,,-0.009158720662215347,,
2000-03-29,,,,,,,-0.01680725518706716,,
2000-03-30,,,,,,,-0.03247825160198359,,
2000-03-31,,,,,,,0.00971748254066429,,
2000-04-03,,,,,,,-0.01312326214849835,,
2000-04-04,,,,,,,-0.028368996752314968,,
2000-04-05,,,,,,,0.01094899362248447,,
2000-04-06,,,,,,,0.01805066447841197,,
2000-04-07,,,,,,,0.007978234934052475,,
2000-04-10,,,,,,,-0.007915086514317826,,
2000-04-11,,,,,,,-0.007978991015546666,,
2000-04-12,,,,,,,-0.030384381556981754,,
2000-04-13,,,,,,,-0.008294753743480099,,
2000-04-14,,,,,,,-0.05390377027309623,,
2000-04-17,,,,,,,0.03536403863787507,,
2000-04-18,,,,,,,0.031309496813271886,,
2000-04-19,,,,,,,-0.005520181734205876,,
2000-04-20,,,,,,,-0.005550034332684861,,
2000-04-24,,,,,,,-0.014884123451794906,,
2000-04-25,,,,,,,0.038715544746336095,,
2000-04-26,,,,,,,0.03454601466092866,,
2000-04-27,,,,,,,-0.013180920219375336,,
2000-04-28,,,,,,,-0.004452389111923916,,
2000-05-01,,,,,,,0.02683419065372128,,
2000-05-02,,,,,,,-0.002614420195829581,,
2000-05-03,,,,,,,-0.021833909345159053,,
2000-05-04,,,,,,,0.012500177679225066,,
2000-05-05,,,,,,,0.022927635432126836,,
2000-05-08,,,,,,,-0.021551261981858305,,
2000-05-09,,,,,,,-0.011453869178073561,,
2000-05-10,,,,,,,-0.02049923214739524,,
2000-05-11,,,,,,,-0.0009099630640747591,,
2000-05-12,,,,,,,0.010928790200964489,,
2000-05-15,,,,,,,0.007207564844105008,,
2000-05-16,,,,,,,0.0348834052960334,,
2000-05-17,,,,,,,-0.0017285713057163532,,
2000-05-18,,,,,,,0.006926257753273601,,
2000-05-19,,,,,,,-0.03697340953423911,,
2000-05-23,,,,,,,-0.029463784405043603,,
2000-05-24,,,,,,,0.022998381632417075,,
2000-05-25,,,,,,,-0.009892068800730902,,
2000-05-26,,,,,,,-0.005449346792329557,,
2000-05-29,,,,,,,0.0009133522598199217,,
